date,total_customers,la,ie,av,vc,rv,sb,oc
5/15/2022,-0.25,,,,,,,-0.3333333333
5/16/2022,-0.119047619,-0.1,-0.25,-0.1666666667,0.5,0,0,0.5
5/17/2022,-0.02727272727,0,0,-0.04166666667,,,0,0.02777777778
5/18/2022,-0.04891304348,0.08333333333,-0.01923076923,0.125,,,0.1666666667,0.01388888889
5/19/2022,-0.1071428571,,-0.25,0.025,,,,-0.1666666667
5/20/2022,-0.1555555556,-0.1923076923,,0.2,-0.1666666667,,,-0.25
5/21/2022,-0.04347826087,0,0.1666666667,0,,,,0
5/22/2022,-0.25,,,0,,,,-0.25
5/23/2022,-0.2333333333,-0.5,,-0.2272727273,0,,-0.5,
5/24/2022,-0.1931818182,0,,-0.2142857143,0.25,-0.25,,-0.0625
5/25/2022,-0.1944444444,-0.5,,,,,-0.125,
5/26/2022,-0.09677419355,,-0.25,0.1666666667,,,-0.2,-0.25
5/27/2022,-0.075,0,,-0.08333333333,0.5,,0,0
5/28/2022,-0.05555555556,0.5,,0,,,,0
5/29/2022,-0.03571428571,,,,,,0,0
5/30/2022,-0.1176470588,,-0.1,0,,,,
5/31/2022,-0.08139534884,0,-0.25,-0.1,-0.08333333333,0.125,-0.25,0.1
6/1/2022,-0.09523809524,0,,0,0,-0.1666666667,-0.5,0.25
6/2/2022,-0.1315789474,,,0.25,0,0,0,
6/3/2022,0.02272727273,0.5,,0.5,0,,,0.5
6/4/2022,-0.1785714286,,,,,,,
6/5/2022,-0.1428571429,,0,,,,,
6/6/2022,-0.1470588235,0,0,0.125,0.07142857143,0,0,0
6/7/2022,-0.1875,-0.25,-0.5,-0.25,-0.5,-0.2,,
6/8/2022,-0.03125,0.1666666667,,0,0,,0,0
6/9/2022,-0.1470588235,,0,-0.125,0,0,,-0.2
6/10/2022,-0.2058823529,,,-0.08333333333,,,0,
6/11/2022,-0.1764705882,0,0,0,0,0,0,-0.1
6/12/2022,-0.1346153846,-0.25,,-0.3333333333,,,0,
6/13/2022,-0.1851851852,-0.25,0,-0.25,,0,0,-0.25
6/14/2022,-0.1764705882,-0.5,,,,,,
6/15/2022,-0.1896551724,0.25,-0.5,-0.25,0,,-0.5,-0.125
6/16/2022,-0.2941176471,-0.5,,,,,-0.5,0
6/17/2022,-0.119047619,,0.5,,,,0,0
6/18/2022,-0.1818181818,-0.25,,-0.5,,,,
6/19/2022,-0.2,,-0.5,,,,,
6/20/2022,-0.125,0.1666666667,,-0.1666666667,0,0,0,0
6/21/2022,-0.075,0,0,0,-0.1666666667,,0,-0.5
6/22/2022,-0.07692307692,-0.05555555556,-0.25,0,0.1,,0,-0.2083333333
6/23/2022,-0.1538461538,-0.25,,,0.25,0.5,,-0.5
6/24/2022,-0.15625,0,,0,0.25,,0,
6/25/2022,-0.1538461538,0,,,,,,
6/26/2022,-0.125,,0,,,,0,0
6/27/2022,-0.0625,0,-0.25,0,0,,0,0
6/28/2022,-0.1875,,,-0.25,-0.25,-0.3333333333,,0
6/29/2022,-0.1590909091,0,,-0.25,0,-0.1666666667,-0.25,
6/30/2022,-0.1818181818,-0.5,,0,0,,-0.5,-0.5
7/1/2022,-0.1,,,,,,,-0.5
7/2/2022,-0.1666666667,,,,,,,
7/3/2022,-0.375,,,,,,,-0.5
7/4/2022,-0.1428571429,0,-0.5,,-0.5,,,
7/5/2022,-0.03571428571,0,0,,0.125,,,
7/6/2022,-0.2291666667,-0.5,,,-0.1666666667,,,0
7/7/2022,-0.1,-0.1,-0.5,-0.25,-0.5,,-0.5,-0.5
7/8/2022,-0.08333333333,0.25,,0,-0.25,,,
7/9/2022,-0.15,,-0.1666666667,,,,,-0.5
7/10/2022,-0.2142857143,,,-0.5,,,,0
7/11/2022,-0.1875,0,0,-0.1666666667,-0.25,,,-0.3333333333
7/12/2022,-0.2272727273,,0,,0,0,0,0
7/13/2022,-0.22,-0.5,-0.5,0,,,-0.3333333333,0
7/14/2022,-0.1515151515,0.125,-0.1666666667,0,0,,0,-0.5
7/15/2022,-0.2,,,,0.5,,,-0.1666666667
7/16/2022,-0.1153846154,,,,,,-0.5,-0.1666666667
7/17/2022,-0.25,,0,,,,,-0.5
7/18/2022,-0.1111111111,0,,-0.125,0,,0,0
7/19/2022,-0.2307692308,,-0.5,,0,-0.1666666667,,0
7/20/2022,-0.2857142857,,-0.5,,0,-0.25,-0.5,-0.5
7/21/2022,-0.1363636364,0,0,,-0.5,,0,-0.25
7/22/2022,-0.08333333333,,,0,,-0.5,0,-0.25
7/23/2022,-0.2083333333,,-0.25,,,,,
7/24/2022,-0.2,,,,,,,
7/25/2022,-0.15,,,-0.5,,,0,
7/26/2022,-0.2777777778,,-0.5,,0,,,
7/27/2022,-0.125,-0.5,,,,,-0.5,
